average_rate_per_night,bedrooms_count,city,date_of_listing,description,title,url
$75.00,1,Houston,January 2016,Nice room with a queen bed. Own bathroom on the 1st floor.,On the water 25 min from downtown,https://www.airbnb.com/rooms/10860504?location=Anahuac%2C%20TX
$225.00,2,Galveston,April 2014,Beautiful 2 bedroom waterfront townhome all to yourself! Corner unit with water views of Galveston Bay from front and back balconies. There is a private dock steps away that is great for fishing or crabbing. The beach is a quick 3 min drive away.,Waterfront with Amazing Sunsets,https://www.airbnb.com/rooms/5729600?location=Bayou%20Vista%2C%20TX
$79.00,1,Aledo,August 2011,"Cozy, Quiet, and Clean! Our Bunkhouse offers an affordable, beautiful retreat in a country setting, yet very close to all the metropolitan amenities. Situated between Fort Worth and Weatherford, Texas....just 15-20 minutes to either.","""The Bunkhouse"" Cozy Guest Cottage",https://www.airbnb.com/rooms/207383?location=Aledo%2C%20TX
$85.00,1,Bellaire,February 2016,"Cozy garage apartment located behind the main house. Apartment has all of the essential amenities. \nExcellent location. Close to the Galleria, Downtown Houston, and many great restaurants. Enjoy a stay in a safe and quiet neighborhood.",NEW: Cozy Bellaire Garage Apartment,https://www.airbnb.com/rooms/16527202?location=Bellaire%2C%20TX
$70.00,2,Brownsville,February 2017,"My condo is a 30 min drive to south padre island, close to beach, the airport, family-friendly activties, and nightlife. You will feel just at home in my tranquil and lovely place.",lovely quiet retreat apartment,https://www.airbnb.com/rooms/17938477?location=Brownsville%2C%20TX
$188.00,1,Canyon Lake,May 2013,"Canyon Lake is Texas' best kept secret! Your home awayfrom home, 'Sierra Bella' is the perfect getaway with beautiful lake views and all the cozy comforts. This unique 1 bedroom condo is located on the north side of the lake near several attractions",The Canyon Lake Charmer! Sweet & Secluded!,https://www.airbnb.com/rooms/6332970?location=Canyon%20Lake%2C%20TX
$175.00,1,Corpus Christi,June 2016,"Bahia Bonita at Villa Del Sol is close to family-friendly activities, nightlife, and the city center. You’ll love my place because of the view of the Lexington, Bay Bridge (especially in the evening), passing boats, swaying Palm Trees and the beautiful water! \nThe bedroom has a queen bed... built in bunks in the hallway and futon in liv makes into a oversized twin. \nDecorated beautifully throughout. \nProperty has 2 swimming pools",Bahia Bonita,https://www.airbnb.com/rooms/13622221?location=Aransas%20Pass%2C%20TX
$40.00,1,Austin,March 2017,"My place is good for solo adventurers. You have access to all kitchen, parking, internet, cozy living-room, and backyard amenities. The backyard is peaceful and faces lush trees.","Cute, Cozy, and Peaceful ATX Home",https://www.airbnb.com/rooms/17545581?location=Bastrop%20County%2C%20TX
$31.00,1,Arlington,March 2016,"5-Star Super Host\nCompletely private suite\n•private entrance\n•semi-private patio\n•newly updated\n•individual A/C &amp; heat\n•kitchenette, including fully stocked mini-bar\n•super-fast internet, spacious, well-equipped work area, great lighting\n•Full cable lineup and Chromecast so you can watch your own Netflix. \n•Quiet neighborhood, beautiful pool area,\n•On street parking\n•Close to UTA (3.6 mi.), Downtown Arlington (4.6 mi), Six Flags (8 mi), Cowboys (6 mi) &amp; Rangers (7.2 mi) Stadiums.",Completely Private. Quiet. Close to UTA/Stadiums.,https://www.airbnb.com/rooms/13857317?location=Arlington%2C%20TX
$51.00,1,Krum,March 2016,A great opportunity to experience tiny living. Our cozy tiny house is roughly 175 Sq ft of AWESOME! We invite you to stay and see if this is the life for you. Or if you are just looking to get away we offer the best in small town living.,Cozy Tiny House in Peaceful Garden,https://www.airbnb.com/rooms/13227515?location=Argyle%2C%20TX
$35.00,1,Shoreacres,July 2015,"One bedroom and private bath - with use of the common areas: gourmet kitchen, cozy living room, laundry, and screened in back porch. WIFI with Amazon Prime and Netflix. Close to Kemah, Nasa, 30 minutes from the Medical Center and beach.",Shoreacres Retreat,https://www.airbnb.com/rooms/7340178?location=Anahuac%2C%20TX
$60.00,1,Dallas,May 2011,"Apartment is located in Deep Ellum a neighborhood composed largely of arts and entertainment venues near downtown. Can walk to many entertainment and food venues in Deep Ellum (10 min walk) or Downtown. Deep Ellum Dart Light Rail Station is 1,000 feet from APT with easy airport access. 1 mile Uber to Uptown (Shopping and Restaurants). AMAZINGLY LOCATED\nComplete bottom floor of 3 floor apartment is yours. Private bathroom with backyard &amp; terrace, Queen size bed idea for 2 guests, will consider 3",Downtown/Deep Ellum Great Location,https://www.airbnb.com/rooms/16353509?location=Arlington%2C%20TX
$100.00,1,Kemah,February 2016,"Our marina has an AC/heated, fully handicapped accessible bathroom and Sundance Grill bar and restaurant are just down the pier. About 3 miles to Kemah Boardwalk, 7 miles to Space Center, and 27 miles to Galveston Bay. Water view, included, no charge",Sleeper berth on 36 foot sailboat,https://www.airbnb.com/rooms/11168029?location=Bacliff%2C%20TX
$118.00,1,Houston,June 2015,"* Located Right By The Famous Houston Galleria \n* Easy Access To Highways 610, I-10 &amp; US-59\n* Enjoy Stunning Views From The 15th Floor Private Balcony\n* Endless Food Options - Sample Cuisine Around The World Within Half Mile \n* All Other Excitement Of City Life Right At Your Fingertips",DELUXE 1 BD NEAR EVERYTHING!,https://www.airbnb.com/rooms/16187563?location=Bellaire%2C%20TX
$69.00,1,Austin,August 2012,"You will have exclusive use of the upstairs master suite of this modern, spacious and comfortable home, in quiet neighborhood a 20 minute drive from downtown Austin.",Hilltop Retreat 20 minutes from downtown Austin,https://www.airbnb.com/rooms/17715390?location=Bee%20Cave%2C%20TX
$325.00,2,Crystal Beach,December 2016,"You’ll love my place because of the outdoor Deck space, the comfy beds, and the neighborhood. My place is good for couples, solo adventurers, and families (with kids).",Johnny's Beach House,https://www.airbnb.com/rooms/16566620?location=Bolivar%20Peninsula%2C%20TX
$150.00,2,Temple,September 2016,"My place is close to Scott and White Hospital, downtown Temple and the mall.. You’ll love my place because you can have the best of both worlds, the city and country life.. My place is good for couples, solo adventurers, business travelers, and families (with kids).",La Casita,https://www.airbnb.com/rooms/14977449?location=Belton%2C%20TX
$180.00,1,Houston,June 2015,This centrally located ultra modern loft style apartment has all the amenities you need to enjoy yourself in Clear Lake.,Modern Loft Style NASA Apartment,https://www.airbnb.com/rooms/16856043?location=Beach%20City%2C%20TX
$115.00,2,Rockport,May 2017,This little piece of paradise is on 3.5 wooded acres less than 3 miles from Cove Harbor boat ramp. It has two bedrooms and one bathroom with a large entertaining kitchen and laundry facilities. The inviting outdoor deck will draw you in after a full day on the water! Pleanty of space on-site to wash and store your boat.,Weepy Street Retreat,https://www.airbnb.com/rooms/18769630?location=Bayside%2C%20TX
$150.00,Studio,Corpus Christi,December 2013,"Our large studio apartment will comfortably accommodate 2 to 4 people. The Beach is just over the sand dunes about a block away. The breeze is always present from the ocean. Has full kitchen, full bath. balcony, walk in closet &amp; tastefully decorated.",Cozy apt with amazing location,https://www.airbnb.com/rooms/2258795?location=Aransas%20Pass%2C%20TX
$80.00,Studio,Houston,October 2014,The apartment is located in the heart of Montrose which is a highly sought after neighborhood to visit in Houston. The area is very diverse and located within walking distance to many popular bars and restaurants. It is also 1 mile from downtown and close to public transportation. There is a loft bed and also a very comfortable fold down sofa. Keep in mind when booking that the loft bed requires navigating steps that are steep so you may want to sleep downstairs on the sofa bed. Welcome,Montrose Secluded Studio #5,https://www.airbnb.com/rooms/13787994?location=Bellaire%2C%20TX
$40.00,1,Dallas,April 2016,"A room available to be shared with 4 other people in a spacious apartment for a maximum of 3 months from May- July. The apartment is in a gated community and in a very peaceful environment. Washer, Dryer in the apartment can be used anytime after 9pm",Cheap and Affordable Room Available,https://www.airbnb.com/rooms/12274466?location=Addison%2C%20TX
$95.00,1,Houston,February 2014,"Furnished with Danish Contemporary Furniture &amp; Equipped everything needed down to towels, silverware and cookware. Conveniently located near Rice University, Texas Medical Center, Museum District, Light Rail, Central Business District.",Furnished 1 BR Apt: Rice U./TMC,https://www.airbnb.com/rooms/5271051?location=Alvin%2C%20TX
$125.00,1,Mineola,December 2016,"Beautiful, comfortable private accommodations close to Mineola, Quitman, and Canton. You’ll love my place because of the high quality furnishings, beautiful setting and a general wonderful ambiance. Romantic getaway for couples, great for business travelers and can accommodate groups. Two-day minimum with longer term rentals available at reduced rates.\nAvailable for Canton First Monday Trade Days!",Dogwood Springs Lodgings,https://www.airbnb.com/rooms/16497158?location=Alba%2C%20TX
$65.00,1,Plano,December 2015,"Cozy Home Away from Home. Business or Family Travel. The house is located close to Legacy and Alma on a bus line in a quiet residential neighborhood. There are lots of restaurants, grocery stores and banks close by. 2 minutes away from Hwy 75.",Nice and cozy one bedroom,https://www.airbnb.com/rooms/10343959?location=Allen%2C%20TX
$59.00,1,Denton,March 2017,"This Lodging is near great restaurants ( Thai, Sushi, Mexican, Chinese, Bar BQ, Cajun, Starbucks, Super marts, CVS, etc... two safe city parks with lighted Tennis courts, antique and shopping malls, the Movie Tavern, TWU golf course, 2nd largest Casino in United States (Winstar Casino) is only 37 minutes from this lodging and it's rates start at $270 a night, fishing lakes (Texoma, Lake Fork, Lake Roberts, Little Elm), live jazz and Blues bands...Etc...Home of Texas women's University and NTSU",Comfortable Housing for Traveling Professionals,https://www.airbnb.com/rooms/17785088?location=Argyle%2C%20TX
$50.00,1,McKinney,May 2013,-Large room with a comfortable queen sized bed\n-Spacious full bathroom\n-3 miles west of Downtown McKinney\n-2.5 miles from Baylor Medical Center in McKinney\n-7 miles from Allen Premium Outlets\n-Dozens of great restaurants nearby,"Calm, comfortable, and clean",https://www.airbnb.com/rooms/12024083?location=Allen%2C%20TX
$150.00,3,Arlington,August 2015,"A place to call home. Centrally located in Arlington, Texas in a cozy, quiet neighborhood. A great location with easy access to restaurants, shopping, entertainment and night life. Has a large backyard with grill and plenty of space to entertain.\n\nRangers Ballpark - 10m (2.8 mi)\nAT&amp;T Stadium - 10m (2.4 mi)\nUniversity of Texas Arlington - 7m (1.9 mi)\nSix Flags - 12m (5.4 mi)\nFort Worth - 26m (17 mi)\nDallas - 26m (20 mi)",Charming Getaway,https://www.airbnb.com/rooms/18289547?location=Arlington%2C%20TX
$129.00,2,Alpine,December 2016,"Cottonwood Creek Cabin has a rustic feel with all the amenities. Knotty pine throughout the entire cabin. You will feel like you are in the old west. This amazing getaway is hidden in a valley surrounded by mountains. Whether you are looking to just relax from the fast pace of the city or if you want a central hub for all that southwest Texas has to offer, this is the ideal place to be.",Cottonwood Creek Cabin,https://www.airbnb.com/rooms/17341100?location=Alpine%2C%20TX
$50.00,1,McKinney,May 2013,-Large room with a comfortable queen sized bed\n-Spacious full bathroom\n-3 miles west of Downtown McKinney\n-2.5 miles from Baylor Medical Center in McKinney\n-7 miles from Allen Premium Outlets\n-Dozens of great restaurants nearby,Comfy room near downtown McKinney,https://www.airbnb.com/rooms/10657428?location=Anna%2C%20TX
$45.00,1,Aransas Pass,July 2014,"RV SPACE ONLY. This space was created to allow out of town horse owners, with LQ trailers, an opportunity to bring their horses to the beach. Horses are not required, but an RV is! Water, Electric, WiFi and boarding for two guest and two horses.",RV hook-up at Blew Pony Stables,https://www.airbnb.com/rooms/4232450?location=Aransas%20Pass%2C%20TX
$65.00,1,San Antonio,August 2014,"Close to restaurants , nightlife, family-friendly activities, easy access to Downtown, Ft. Sam, the Broadway Corridor, Museums. You’ll love the friendly courtyard community, the new comfy bed, high speed internet, Cable TV, your own kitchen &amp; shared laundry facility. A new community with attention to environmental details; no VOC paints, no formaldehyde millwork, adobe construction and concrete floors. Good for couples, solo adventurers, &amp; business travelers. (Maximum: 2 Guests)",Adobe Bungalow Close to Downtown & Airport 204,https://www.airbnb.com/rooms/16672670?location=Alamo%20Heights%2C%20TX
$149.00,1,San Antonio,October 2015,"Bed &amp; Breakfast\nLocation, Location !\nOur Victorian homes constructed in 1916, nestled into surrounding trees and elevated just above the San Antonio Riverwalk, guest of the Inn feel as though they are hidden away right in the heart of the city!",Hemisfair Suite- B&B Inn On The Riverwalk,https://www.airbnb.com/rooms/11065148?location=Alamo%20Heights%2C%20TX
$75.00,2,Justin,November 2016,"My place is good for couples, solo adventurers, business travelers, and families (with kids).",Texas Motor Speedway & Fort Worth Getaway,https://www.airbnb.com/rooms/15847221?location=Argyle%2C%20TX
$80.00,Studio,San Antonio,February 2014,"This studio dwelling anchors a cozy urban oasis complete with patio/garden and is walking/biking distance from major San Antonio attractions in the Broadway Corridor. Complete with kitchenette, updated bathroom, queen-size bed, dining and lounging area with large TV, and a loft, this is the perfect retreat!",Garden Studio near Pearl/Riverwalk,https://www.airbnb.com/rooms/11866760?location=Alamo%20Heights%2C%20TX
$115.00,2,Amarillo,March 2016,"WiFi, Cable TV, and washer and dryer.\nExperience The Roaring Twenties. Charming historic 1920's home, with original hardwood floors, molding, and character. This adorable house was built in 1926 and we went with the \",The Roaring Twenties House,https://www.airbnb.com/rooms/18088608?location=Amarillo%2C%20TX
$26.00,1,Dallas,June 2015,"Hey there! I am a PhD econ student at UTDallas traveling back home for the summer. I have a really nice and clean apartment with a male roommate located close to LBJ dart station (I-635 and 75). The room is big, has all furniture and is at walking distance from public transportation.",Room at north Dallas (Close to LBJ DART station),https://www.airbnb.com/rooms/18699197?location=Addison%2C%20TX
$27.00,1,McKinney,September 2014,"-centrally located in Mckinney, yet on one of the last remaining undeveloped roads within city limits in private setting surrounded by farmland, with the authentic feel of living in the country. \n-large back patio and deck with hot tub, and country air.\n-less than 10 minutes drive to four major highways (Hwy 5, Hwy 380, Hwy 75, Hwy 121)\n-this is a smart home, with a nest thermostat, high speed internet, keyless touchpad entry, applet tv, and blue tooth surround sound on the back deck.",Little Country Home Queen Bed B,https://www.airbnb.com/rooms/10786147?location=Allen%2C%20TX
$450.00,4,Port Aransas,February 2017,"My place is ON THE BEACH ON GULF OF MEXICO, family-friendly activities YES, nightlife, public transport, the airport,GIANT WATER SLIDE ,GOLF COURSE. You’ll love my place because of IT HAS ITS OWN WALKWAY TO THE BEACH . THE HOUSE IS ON THE BEACH.GREAT SUNRISE OFF THE GULF OF MEXICO AND SUN SET OVER THE BAY.SECLUDED AREA.",CLASIC BEACH HOUSE,https://www.airbnb.com/rooms/17207299?location=Aransas%20Pass%2C%20TX
$119.00,2,Houston,October 2016,"Ideal location in Montrose/Midtown (1317) Spacious (1,240 sqft. 2/2 )with all the amenities. Bounded by Downtown Houston, Montrose an the Museum District. Location, location, location! Very walkable!My place is close to several parks, museums, the best cafes &amp; shops, and the Metro light rail. It's only 5 miles from the Galleria area. You’ll love my place because of the 10' ceilings, the charm of the neighborhood , the views, the ambiance, and the people. My place is great for families &amp; couples.",2 BDR / 2 BTH Flat in Midtown/Montrose #1317,https://www.airbnb.com/rooms/16940208?location=Alvin%2C%20TX
$38.00,1,Plano,November 2016,"**City of Plano tax which is different than TX State Tax is included in rate**\n\nQuiet neighborhood, tastefully decorated 1600 SF condo, lots of windows for sunshine, 1 level-no stairs, convenient to sights, parks/trails, eateries, shops, &amp; DART rail. **You will be the only overnight guest(s) during your stay. Your bedroom/bathroom are across from each other. Your bathroom is private to you while you're here. The only other room on your hallway is the laundry. We love having fellow Toyota friends",Cozy Private Queen Room & Pvt Bath,https://www.airbnb.com/rooms/16220710?location=Allen%2C%20TX
,1,Corpus Christi,June 2017,"Lovely Beachfront Condo sleeps 5-6 (four adults max.) with Queen Bed, 2 child bunk beds in hall way, queen sleeper sofa in den, USS Lexington Aircraft Carrier Museum(Blue Ghost) Texas State Aquarium, Waterpark, Restaurants, Fishing, Beach Combing, 2 swimming pools (one heated), BBQ Picnic areas with Grill, Fitness Room, FREE Wi-Fi, Cable TV with DVD player with small DVD library. Separate $15 registration fee charged by property at check-in. BREATHTAKING VIEWS tantamount to ZEN-like relaxation!",Beachfront Lovely Condo Sleeps 5-6 FREE WIFI!!,https://www.airbnb.com/rooms/19209640?location=Aransas%20Pass%2C%20TX
$39.00,1,San Antonio,January 2016,"Borrow a bike, enjoy a cup of coffee, relax in a quiet home in an ideal spot in San Antone! Short drive to Pearl, lDowntown, Riverwalk and airport! Enjoy a book in the quiet patio. Please note that this home has multiple listing.\nWelcome!",Traveler Room 5 miles To Downtown,https://www.airbnb.com/rooms/13765574?location=Alamo%20Heights%2C%20TX
,3,Houston,July 2014,"Charming 3 bed, 3 bath 1910 home located in the heart of downtown Houston, a mile south of Heights in the Arts District, the First Ward. We are located inside the 610 loop between Buffalo Bayou and White Oak Bayou. This house hosts an amazing view of downtown looking out the kitchen window. Central air, heat, wifi, tv in each bedroom, updated kitchen, washer/dryer in home, automatic gate, alarm, outdoor deck for entertaining, outdoor speaker system for backyard and kitchen.",Cozy Getaway in the Shadows of Downtown,https://www.airbnb.com/rooms/16688698?location=Baytown%2C%20TX
$107.00,3,McKinney,June 2017,"You will be glad you rented here! Everything you need while you are on vacation or looking for your own home. Great for couples, friends and family. Comfortable and cozy best describe this home with plenty of room throughout the home. Quite while you sit on the back porch and BBQ or lounge inside. Just a quick drive will put you in Historic quaint downtown McKinney for lively night life or delicious food. 10-30 minutes away from so much more.",Hm base 4 your DFW stay. Charming rental McKinney,https://www.airbnb.com/rooms/19496467?location=Anna%2C%20TX
$277.00,2,Canyon,March 2014,"The Cottage is a home away from home located in the heart of Canyon, TX. Near Palo Duro Canyon and West Texas A&amp;M University. You will love the thoughtful attention to detail throughout the house that will make your stay comfortable, easy and fun!",The Cottage Guest Home,https://www.airbnb.com/rooms/10364014?location=Amarillo%2C%20TX
$65.00,1,Plano,October 2015,"Full size comfy bed\nLovely antique furniture\nFlat screen TV in room\nDorm Fridge and Microwave in Room\nWifi available\nCable \nContinental breakfast everyday (excluding long-term / more than 7 days)\nHot meals available for fee\nLaundry facilities available (schedule posted)\nOn bus line / Uber and Lyft available \nStreet parking\nClose to businesses in Frisco, Addison &amp; Plano\nMUST BE COMFORTABLE LIVING WITH DOGS",Business or Family Travel,https://www.airbnb.com/rooms/9072313?location=Allen%2C%20TX
$38.00,1,San Antonio,August 2016,"Semi-private quarter, bedroom with full bed, bathroom with shower, toilet and sink. Between airport and Medical center. Near highways 410, I10 and 281. Great for morning or evening leisure walk after a long busy day. Enjoy back yard for relaxing.",Nice hilly neighborhood.,https://www.airbnb.com/rooms/14300922?location=Alamo%20Heights%2C%20TX
$99.00,2,San Antonio,February 2013,"Come stay at our 1920's cottage in central San Antonio! We offer a clean and quiet space that is close to the best of San Antonio. \n\nCentrally located near \n- The Pearl (~5 miles)\n- Riverwalk (~4 miles) \n- The Alamo Downtown (~ 6 miles)\n- Alamodome (~ 6 miles)\n- Southtown (~5 miles)\n- UTHSC Medical Center (~7 miles)\n- AT&amp;T Center (~8 miles)\n- Fort Sam Houston (~7.5 miles)\n- San Pedro Spring (~2 miles)\n- Woodlawn lake, great brunches, coffee shops, and so much more!",Historic 1927 Cozy Cottage ~5 miles to downtown,https://www.airbnb.com/rooms/9887113?location=Alamo%20Heights%2C%20TX
$120.00,Studio,McKinney,June 2017,Lovley,Home,https://www.airbnb.com/rooms/19364761?location=Allen%2C%20TX
$199.00,2,Amarillo,November 2014,"New Home - 2 Bedroom - 2 full Bathrooms - Large 2 car Garage - Please note our property is Pet Free and Non Smoking - Open Kitchen / Dining / Living area - Tall Stone block fenced back yard with patio and newly constructed 12 X 10 pergola, with patio table and chairs to enjoy our cool evenings. Visit to Palo Duro Canyon State Park / Musical Texas / Zip line.",NEW Southwest House in The Vineyards of Amarillo,https://www.airbnb.com/rooms/4694773?location=Amarillo%2C%20TX
$69.00,1,Canyon,June 2010,"Master Spa suite offers a king bed, two twins and plenty of space for 4 or 5 guests. Enjoy your own private bath with double vanities, walk in shower, whirlpool tub and a private patio with SPA TUB!",Spa Retreat near Palo Duro Canyon,https://www.airbnb.com/rooms/6195942?location=Amarillo%2C%20TX
$32.00,1,San Antonio,January 2016,"Cute bedroom comfortably sleeps two people. Enjoy a book in the quiet patio area or serene bedroom. Borrow a bike and navigate the Alamo Heights area. Short drive toThe Pearl, the Riverwalk and the SA airport. Enjoy coffee or tea available in kitchen. There are multiple listings in this home.",Short drive downtown SA (Pearl),https://www.airbnb.com/rooms/13604134?location=Alamo%20Heights%2C%20TX
$34.00,1,San Antonio,May 2014,\,""" LA CASITA DEL ALAMO "" Cozy bedroom for 2",https://www.airbnb.com/rooms/16613837?location=Alamo%20Heights%2C%20TX
$140.00,3,Weatherford,October 2016,"My place is close to Downtown, Walmart, dollar store, medical, and churches . You’ll love my place because of Cute tea cup/pot decor, quiet neighborhood, back patio with grill. Privacy fenced back yard. Grandma's home. . My place is good for couples, solo adventurers, business travelers, families (with kids), and big groups.",Tea at Grandma's,https://www.airbnb.com/rooms/15525843?location=Azle%2C%20TX
$105.00,1,Lago Vista,January 2016,"Lovely, and tastefully furnished luxury condo located on the Island on Lake Travis - a luxurious, serene, and breathtaking island villa. Get ready to be refreshed. Enjoy access to golf course, marina, biking/hiking trails, pool, sauna, etc. It is great for couples, solo adventurers, business travelers, and families (with kids).We also have a 10' x 24' boat slip rentable for $35/night.",Lovely Lake Travis Island Condo,https://www.airbnb.com/rooms/14757758?location=Briarcliff%2C%20TX
$40.00,1,Irving,September 2016,"Hi, I am renting my extra bedroom here. Book it and you will feel like your own home. This room is also comes with a baby bed. Perfect for family with a kid.I am a very easy going person and will try my best to give you the best airbnb experience. I am only 10 mins away from DFW airport. I have kept the description minimal so that your expectation is lower, but I promise you wont be disappointed. Come and explore. Ask me any questions or concerns. Thanks for looking.","Queen bed close to dfw, Irving",https://www.airbnb.com/rooms/17668430?location=Bedford%2C%20TX
$130.00,2,Houston,August 2015,"Peden House is a beautiful fully equiped home in the heart of Montrose near Downtown, Medical Center and the Museum District. It is only 5 years old, spacious and with high ceilings. It is within walking distance of great restaurants and Parks.",Peden House,https://www.airbnb.com/rooms/12762354?location=Alvin%2C%20TX
$46.00,1,Denton,January 2017,"My place is close to the University of North Texas and Texas Women's University, right down the street from grocery and dining options, as well as the Denton square! This is a great place to stay if you are visiting for college and exploring Denton or auditioning at the College of Music.",Cozy room with private bath,https://www.airbnb.com/rooms/16812015?location=Aubrey%2C%20TX
$150.00,1,Austin,June 2015,"Newly remodeled Tiny House in hip East Austin. 2 miles to downtown, 7 miles to ABIA, 14 miles to Circuit of the Americas. \nQueen bed and a pull-out couch comfortably sleeps 4. Perfect for a weekend getaway or business trip. Be a part of the Tiny House Movement!",Welcome to our Tiny Home!,https://www.airbnb.com/rooms/15552668?location=Austin%2C%20TX
$202.00,2,Austin,August 2014,"Enjoy a peaceful hill-country setting, 20 min to downtown. Lovely, spacious home, beautifully furnished. Courtyard w fire pit. Surrounded by meadows and a pond. Nearby wedding venues, restaurants, breweries &amp; vineyards.","Texas Moon, hill-country getaway.",https://www.airbnb.com/rooms/12004636?location=Bee%20Cave%2C%20TX
$59.00,1,Houston,April 2017,"New apartment family length rental, we have more than 30 houses rented, can meet your long and short stay.\n\nYou will certainly experience the comfort of our new apartment model, everything from our warmest service to you start.\n\nLooking forward to your stay, the best for your service!\n\nPeripheral implementation:\nThere are two large supermarkets and restaurants, CVS convenience stores, post offices, dry cleaners and so on.\n\nThe most enthusiastic job service\nThe apartment area is 115 square meters",TRAVEL HOME &旅游之家&,https://www.airbnb.com/rooms/19022075?location=Bellaire%2C%20TX
$250.00,2,Katy,August 2013,Families (with kids),Raylene,https://www.airbnb.com/rooms/17851463?location=Beasley%2C%20TX
$530.00,4,Bolivar Peninsula,March 2014,THE HOUSE: \nYou can relax and unwind on the two extra balconies which have ocean views! The entire house is filled with plush furnishings and first-rate home entertainment equipment-Direct TV and WIFI throughout. Wood floors and granite counter-tops throughout every room in the house. Many other amenities to make you feel right at home.,Wait~N~Sea,https://www.airbnb.com/rooms/14584734?location=Anahuac%2C%20TX
$140.00,2,Marble Falls,September 2012,"2b/1ba cabin comes with 2 queen size beds, a futon, and a twin rollaway. Kitchenette and full size bath come with dishes, appliances, linens, and towels. Large front porch, bbq grill, and firepit. Central heat and A/C. Modern rustic charm!",Secluded Firehouse Cabin sleeps 7,https://www.airbnb.com/rooms/15814145?location=Buchanan%20Dam%2C%20TX
$125.00,2,San Antonio,December 2015,"Our 2 bed, 2 bath home is located in the Historic Government Hill Neighborhood, which is adjacent to Fort Sam Houston. We're less than a mile from Pearl Brewery, 1.8 miles to the center of downtown and the AT&amp;T center is 2.5 miles away! You can see the Tower of the Americas from our front porch!",The Muncey Haus,https://www.airbnb.com/rooms/17963987?location=Alamo%20Heights%2C%20TX
$250.00,1,Corpus Christi,May 2014,"The Condo is right on the beach, located on \",***Best Beach Views of Fireworks in Corpus***,https://www.airbnb.com/rooms/3128031?location=Aransas%20Pass%2C%20TX
$335.00,4,Fort Worth,June 2014,"Beautiful new construction within 2 blocks of dining, bars and culture. Our 4 bedroom 3.5 bathroom house is located in a historic neighborhood, just minutes from downtown and TCU, and blocks from the best hospitals in town.",Midcentury charm in a historic area,https://www.airbnb.com/rooms/12808363?location=Benbrook%2C%20TX
$99.00,Studio,Austin,February 2013,"The peaceful private backyard studio is close to everything - downtown, Lady Bird Lake, South Congress, Barton Springs, Zilker Park, Auditorium Shores, Palmer Auditorium, minutes from East Austin. You’ll love the place because of the unique space. Tucked under sprawling Southern Live Oaks trees it has incredible light, a lush queen-sized bed, comfy fold-out leather sofa bed. My place is ideal for couples, solo adventurers, business travelers, families (with kids), and it's pet friendly.",*Zen private studio in the heart of South Austin*,https://www.airbnb.com/rooms/16157135?location=Austin%2C%20TX
$159.00,1,Houston,January 2017,"This guesthouse is situated in a private space within the gated backyard of the main house, and has a pool and garden view. We are conveniently located in Montrose (near the intersection of Montrose and West Alabama) on the edge of Downtown/Midtown Houston, just a 10 minute drive from NRG Stadium. Enjoy some of Houston's coolest spots in the hippest part of the city, or just lounge in your private living room or by the pool. Within a few blocks of the train btwn medical center and downtown.",Private Guesthouse,https://www.airbnb.com/rooms/16599459?location=Alvin%2C%20TX
$140.00,1,Sargent,May 2017,"1 Bedroom, 1 Bathroom, Sleeps up to 6. Small cozy cabin on the Caney Creek. Great for duck hunters and fishermen. Fish the LED green lighted private pier, or take the short 8 minute boat ride to Mitchell's cut. Bring your own fire wood for the fire pit, or use our seasoned oak wood \",Blast n cast cabin on Caney Creek great fishing,https://www.airbnb.com/rooms/18808439?location=Bay%20City%2C%20TX
$488.00,3,Rockport,April 2017,Lovely coastal home built in 2009 on a deep canal near Estes Flats and Redfish Bay!,Pickled Pirate,https://www.airbnb.com/rooms/18699983?location=Bayside%2C%20TX
$69.00,1,Waco,March 2015,"94- 5 star reviews. Quiet getaway on 2 acres. Within 20 to 25 minutes from Waco or Temple Texas. 1 full size bed in upstairs loft . In ground pool, gas/charcoal grill access. 182 approx sq. ft with Compost Toilet &amp;rainfall shower in downstairs bath. Perfect opportunity to stay in a Tiny House and visit the Silos all in one trip. Moderate Cancelation Policy.",The Original Waco Tiny House as seen on HGTV,https://www.airbnb.com/rooms/6487824?location=Belton%2C%20TX
$50.00,1,Belton,September 2013,"Bedroom and bath for rent in safe, established neighborhood in Belton. 15/20 mins- Scott &amp; White. 15 mins- Harker Heights. About 5 mins- Belton Lake. No carpeting in house. Room furnished. Own 1 well mannered boxer!",Cute bedroom and bath for rent!,https://www.airbnb.com/rooms/1673476?location=Belton%2C%20TX
$30.00,1,San Antonio,October 2015,"Comfort &amp; Cozy! My bungalow is definitely your home away from home....nicely tucked away in the Los Angeles Heights neighborhood, minutes away from locally owned bars &amp; diners. As well asThe Woodlawn Theater &amp; Downtown. I'm an uber/lyft driver as well. \n\nEasy access to major highways(IH(PHONE NUMBER HIDDEN)s)",Mi Casa Es Su Casa!,https://www.airbnb.com/rooms/9060932?location=Alamo%20Heights%2C%20TX
$77.00,2,San Leon,February 2017,"My place is good for couples, solo adventurers, business travelers, families (with older kids), furry friends (pets). Come spend Mardigras with us. Five minutes from excellent fishing grounds. Just 20 minutes from Galveston by boat or car",Captain's Quarters on Galveston bay.,https://www.airbnb.com/rooms/17399401?location=Beach%20City%2C%20TX
